Product_Name,Selling_Price,MRP,Discount,Brand,Model,Battery_Life,Driver_Size,Bluetooth_Version,Connectivity,Type,Mic,Colour,URL
"JBL Tune 770NC Wireless Over Ear ANC Headphones with Mic, Upto 70 Hrs Battery, Speed Charge : 5 min Charge Gives up to 3H of Playback, Google Fast Pair, Dual Pairing, BT 5.3 (Black)",,,,JBL,Tune 770NC Wireless Over Ear ANC Headphones with Mic,70 Hrs,,,Wireless,Over Ear,Yes,Black,https://www.amazon.in/JBL-Wireless-Headphones-Speedcharge-Customize/dp/B09CYX92NB/ref=sr_1_11?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-11
"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Charge, Up to 35Hrs Battery, Customized EQ- Blue",,,,Sony,WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic,35Hrs,,,Wireless,Over Ear,Yes,,https://www.amazon.in/Sony-WH-CH720N-Cancellation-Headphones-Multi-Point/dp/B0BXXPG6FP/ref=sr_1_12?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-12
"boAt Rockerz 650 Pro (2025 Launch),Touch/Swipe Controls,Dolby Audio,80Hrs Battery,2Mics Enx,Fast Charge,App Support,Dual Pair,Bluetooth Over Ear Headphones,Wireless Headphone with Mic (Sage Green)",,,,boAt,Rockerz 650 Pro,80Hrs,,,Wireless,Over Ear,Yes,Sage Green,https://www.amazon.in/boAt-Rockerz-650-Pro-Headphones/dp/B0DV5GLTLZ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-13
"JBL C100SI Wired In Ear Headphones With Mic, Pure Bass Sound, One Button Multi-Function Remote, Premium Metallic Finish, Angled Buds For Comfort Fit (Black)",,,,JBL,C100SI Wired In Ear Headphones With Mic,,,,Wired,,Yes,Black,https://www.amazon.in/JBL-Headphones-Multi-function-Premium-Metallic/dp/B01DEWVZ2C/ref=sr_1_14?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-14
Logitech H111 Wired On Ear Headphones With Mic Black,,,,Logitech,,,,,Wired,On Ear,Yes,,https://www.amazon.in/Logitech-H111-Stero-Headset-Black/dp/B00Y4ORQ46/ref=sr_1_15?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-15
"Zebronics Zeb-Storm On Ear Wired Headphone with 3.5mm Jack, Built in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Black)",,,,Zebronics,,,,,Wired,On Ear,Yes,Black,https://www.amazon.in/ZEBRONICS-Zeb-Storm-Microphone-Adjustable-Lightweight/dp/B0B4G44RFS/ref=sr_1_16?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-16
"GOBOULT Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, AUX Option, IPX5 Headphones Wireless with mic (Black)",,,,GOBOULT,Q Over Ear Bluetooth Headphones with 70H Playtime,,,,Wireless,Over Ear,Yes,Black,https://www.amazon.in/Boult-Bluetooth-Headphones-Playtime-Charging/dp/B0DFHFH16K/ref=sr_1_17?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-17
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",,,,boAt,Rockerz 450,15 HRS,40mm,,Wireless,On Ear,Yes,Luscious Black,https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_18?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-18
"boAt Rockerz 512 ANC,(~40dB) Hybrid ANC, 80H Battery, 40mm Drivers, 40ms Low Latency, ENx Tech,Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Headphone with Mic (Cosmic Black)",,,,boAt,Rockerz 512 ANC,,40mm,,Wireless,,Yes,Cosmic Black,https://www.amazon.in/boAt-Playback-Bluetooth-Headphones-Headphone/dp/B0FG2QT7H2/ref=sr_1_19?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-19
Ant Esports H520W Lightweight Gaming Over Ear Wired Headphones with Mic| 3.5MM Jack |50 MM Drivers | Compatible with PC/ PS4 / Xbox One/Nintendo/Mobile (Black),,,,Ant,,,50 MM,,Wired,Over Ear,Yes,Black,https://www.amazon.in/Ant-Esports-Nintendo-Computer-Black/dp/B081Q85RTF/ref=sr_1_20?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-20
