Product_Name,Brand,Model,Connectivity,Type,Keys_Count,Special_Keys,Colour,Features,Selling_Price,MRP,Discount,URL
Let us know,Let,,,,,No,,,,,,https://www.amazon.in#
Let us know,Let,,,,,No,,,,,,https://www.amazon.in#
"Ant Esports MK1200 Mini 60% Wired Mechanical Gaming Keyboard – Red Switch, Rainbow Backlit, 61 Keys, Anti-Ghosting, USB, Compact TKL – Compatible with Windows, macOS, PS5, Xbox, Laptop & PC (White)",Ant,,Wired,Mechanical,61 Keys,No,red,,,,,https://www.amazon.in/Ant-Esports-MK1200-Mechanical-Keyboard/dp/B0FBRKD1BK/ref=sr_1_13?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-13
"Ant Esports MK800 Pro Wired Mecha Membrane Backlit Gaming Keyboard with 87 Keys Sturdy and Lightweight Compact Numeric Pad Keyboard for Home Internet Cafe Game Room Offices_ Grey, Beige, Orange",Ant,,Wired,Gaming,87 Keys,No,red,,,,,https://www.amazon.in/Ant-Esports-MK800-Pro-Lightweight/dp/B0DFCW6K1S/ref=sr_1_14?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-14
"Portronics Bubble Multimedia Wireless Keyboard 2.4 GHz & Bluetooth 5.0 Connectivity, Noiseless Experience, Compact Size for iOS iPad Air, Pro, Mini, Android, Windows Tablets PC Smartphone(White)",Portronics,,Wireless,Multimedia,,No,Blue,,,,,https://www.amazon.in/Portronics-Multimedia-Connectivity-Experience-Smartphone/dp/B0FH1VKC66/ref=sr_1_15?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-15
"AULA F75 75% Wireless Mechanical Keyboard | Hot Swappable | Pre-lubed Linear Switches | RGB Backlit | 2.4GHz/Type-C/Bluetooth Gaming Keyboard (Cedar Green, Reaper Switch)",AULA,,Wireless,Mechanical,,No,Blue,,,,,https://www.amazon.in/AULA-F75-Wireless-Mechanical-Green/dp/B0CQXNQYFP/ref=sr_1_16?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-16
"HP K260 Wireless Keyboard/Quick/Comfy/Accurate/Plug and Play/Led Indicators,Black",HP,K260 Wireless Keyboard/Quick/Comfy/Accurate/Plug and Play/Led Indicators,Wireless,,,No,Black,,,,,https://www.amazon.in/HP-Wireless-Keyboard-Accurate-Indicators/dp/B0D3VGTJ6T/ref=sr_1_17?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-17
Kreo Hive 65 RGB Anti-ghosting Gaming Keyboard | Wired Mechanical Keyboard with RGB Backlight | 5 Pin Hot-Swap | Detachable USB C Cable (Black),Kreo,Hive 65 RGB Anti,Wired,Mechanical,,No,red,,,,,https://www.amazon.in/Kreo-Anti-ghosting-Mechanical-Backlight-Detachable/dp/B0F4K8KZS8/ref=sr_1_18?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-18
"Ant Esports MK 1700 Wired Membrane Gaming Keyboard –with Backlit RGB LED, USB-A Connection, Quiet Keystrokes, 12 Multimedia Function Keys - for Computer, PC, Desktop, Gamer– 1 Year Warranty–Mercury",Ant,,Wired,Gaming,,No,red,,,,,https://www.amazon.in/Ant-Esports-Connection-Keystrokes-Multimedia/dp/B0CLJHP3RF/ref=sr_1_19?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-19
"Portronics Bubble 3.0 Wireless Keyboard with Bluetooth + 2.4 GHz USB Receiver, Rechargeable Battery, Dual Height Adjustment, Multimedia Hotkeys with Numpad, for Laptop, PC, Smartphone, Tablet(Black)",Portronics,,Wireless,Multimedia,,No,Blue,,,,,https://www.amazon.in/Portronics-Rechargeable-Adjustment-Multimedia-Smartphone/dp/B0FGVQBNSB/ref=sr_1_20?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-20
