Product_Name,Brand,Model,Connectivity,Type,Keys_Count,Special_Keys,Colour,Features,Selling_Price,MRP,Discount,Rating,Reviews,URL
Let us know,Let,,,,,No,,,"3,698","₹4,799₹4,799",,4.4 out of 5 stars,334,https://www.amazon.in#
Let us know,Let,,,,,No,,,799,"₹1,799₹1,799",,3.9 out of 5 stars,"5,686",https://www.amazon.in#
"Acer SwiftConnect Multi-Device Wireless Rechargeable Keyboard with Cradle & Touchpad | Dual Channel Switch | Compact & Quiet | Works with Windows, Mac, Laptop, Desktop, Tablet, Smartphone, Notebook",Acer,SwiftConnect Multi,Wireless,,,No,,,"1,599","₹3,990₹3,990",,3.7 out of 5 stars,22,https://www.amazon.in/Acer-SwiftConnect-Multi-Device-Rechargeable-Smartphone/dp/B0FG94XRNK/ref=sr_1_13?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-13
"EvoFox Fireblade TKL Semi-Mechanical Gaming Keyboard with Rainbow Backlit& Breathing Effect, Floating Keycaps, 19 Anti-Ghosting & 12 Multimedia Keys, Windows Lock Key, Braided Cable (Black)",EvoFox,Fireblade TKL Semi,,Mechanical,,Yes,Black,,698,"₹1,299₹1,299",,4.0 out of 5 stars,"7,721",https://www.amazon.in/AMKETTE-Amkette-Fireblade-Keyboard-Anti-Ghosting/dp/B085366TJW/ref=sr_1_14?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-14
"Ant Esports KM1610 LED Gaming Keyboard and Mouse Combo, 104 Keys Rainbow Backlit Keyboard and 7 Colour RGB Mouse for PC Laptop Xbox PS4 Gamers and Work, White",Ant,Esports KM1610 LED Gaming Keyboard and Mouse Combo,,Gaming,104 Keys,No,White,,649,"₹2,199₹2,199",,4.0 out of 5 stars,"3,426",https://www.amazon.in/Ant-Esports-Keyboard-Rainbow-Backlit/dp/B0CMXQN2B4/ref=sr_1_15?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-15
"ZEBRONICS Transformer K1 Premium Gaming Keyboard with 104 Keys, 1.7m Cable, Laser Keycaps, Multi Color LED Modes, Integrated Multimedia Keys, All Keys Enable/Disable Function",ZEBRONICS,Transformer K1 Premium Gaming Keyboard with 104 Keys,,Gaming,104 Keys,Yes,,,399,₹999₹999,,3.9 out of 5 stars,346,https://www.amazon.in/ZEBRONICS-Transformer-K1-Integrated-Multimedia/dp/B0CGZKPM9F/ref=sr_1_16?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-16
"ProDot Alive USB Wired Keyboard I Plug & Play Technology I 104 Keys I Rupees Key I 1.2m Wired I Spill Resistant Design I Compatible with Windows, iOS, Linux with 1 Year Warranty",ProDot,,Wired,,104 Keys,No,red,Spill,279,₹500₹500,,4.3 out of 5 stars,62,https://www.amazon.in/ProDot-Keyboard-Profile-Resistant-KB-Alive/dp/B0C5N8QBT8/ref=sr_1_17?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-17
"Ant Esports MK1200 Mini 60% Wired Mechanical Gaming Keyboard – Red Switch, Rainbow Backlit, 61 Keys, Anti-Ghosting, USB, Compact TKL – Compatible with Windows, macOS, PS5, Xbox, Laptop & PC (White)",Ant,,Wired,Mechanical,61 Keys,No,red,,"1,099","₹4,199₹4,199",,4.0 out of 5 stars,"1,179",https://www.amazon.in/Ant-Esports-MK1200-Mechanical-Keyboard/dp/B0FBRKD1BK/ref=sr_1_18?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-18
"AULA F75 75% Wireless Mechanical Keyboard | Hot Swappable | Pre-lubed Linear Switches | RGB Backlit | 2.4GHz/Type-C/Bluetooth Gaming Keyboard (Cedar Green, Reaper Switch)",AULA,,Wireless,Mechanical,,No,Blue,,"5,648","₹15,999₹15,999",,4.5 out of 5 stars,"1,300",https://www.amazon.in/AULA-F75-Wireless-Mechanical-Green/dp/B0CQXNQYFP/ref=sr_1_19?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-19
HP K120 Wired Keyboard,HP,,Wired,,,No,red,,399,"₹1,299₹1,299",,3.9 out of 5 stars,92,https://www.amazon.in/HP-AB3C9AA-K120-Wired-Keyboard/dp/B0DXPHG886/ref=sr_1_20?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-20
Let us know,Let,,,,,No,,,539,₹649₹649,,4.3 out of 5 stars,"39,095",https://www.amazon.in#
Let us know,Let,,,,,No,,,"1,599","₹3,999₹3,999",,4.2 out of 5 stars,"35,100",https://www.amazon.in#
Let us know,Let,,,,,No,,,"2,995","₹4,195₹4,195",,4.3 out of 5 stars,827,https://www.amazon.in#
Let us know,Let,,,,,No,,,698,"₹1,299₹1,299",,4.0 out of 5 stars,"7,721",https://www.amazon.in#
"Dell KM3322W Wireless USB Keyboard and Mouse Combo, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty - Black",Dell,KM3322W Wireless USB Keyboard and Mouse Combo,Wireless,,,No,Black,Spill,"1,239","₹2,499₹2,499",,4.1 out of 5 stars,"13,461",https://www.amazon.in/Dell-Wireless-Keyboard-Mouse-Spill-Resistant/dp/B09T3H12GV/ref=sr_1_19?dib=eyJ2IjoiMSJ9.-Oa2Uyq8RnrWq4ffIwwVP814QZIt1mm79ABXhdJx2lZjcCn5JZZofJsRTGpAOLCk5S67zKcjyKzbx6S2sOTryA5d14YRE7Ei3b5Fna3WyESOB3NI0H9Q_Q3vX_glHRX7_Oq3qbntao2gKVj1kvGWVbGo-jL12OUz4zcLqLqvHdjBRpVdOHxJ4tsfS_F6-4FEUaqOcKimvD8sFNNmexBX4zaypaZi6vGKJ3IPnR_PKS4.Nor0hY1k0rT1kcElpt3zIYMkcGWA6a2_Av3S5CmZSsk&dib_tag=se&keywords=keyboards&qid=1758608156&sr=8-19
"HP K260 Wireless Keyboard/Quick/Comfy/Accurate/Plug and Play/Led Indicators,Black",HP,K260 Wireless Keyboard/Quick/Comfy/Accurate/Plug and Play/Led Indicators,Wireless,,,No,Black,,649,"₹1,700₹1,700",,4.0 out of 5 stars,280,https://www.amazon.in/HP-Wireless-Keyboard-Accurate-Indicators/dp/B0D3VGTJ6T/ref=sr_1_20?dib=eyJ2IjoiMSJ9.-Oa2Uyq8RnrWq4ffIwwVP814QZIt1mm79ABXhdJx2lZjcCn5JZZofJsRTGpAOLCk5S67zKcjyKzbx6S2sOTryA5d14YRE7Ei3b5Fna3WyESOB3NI0H9Q_Q3vX_glHRX7_Oq3qbntao2gKVj1kvGWVbGo-jL12OUz4zcLqLqvHdjBRpVdOHxJ4tsfS_F6-4FEUaqOcKimvD8sFNNmexBX4zaypaZi6vGKJ3IPnR_PKS4.Nor0hY1k0rT1kcElpt3zIYMkcGWA6a2_Av3S5CmZSsk&dib_tag=se&keywords=keyboards&qid=1758608156&sr=8-20
Zebronics Zeb-Companion 107 USB Wireless Keyboard and Mouse Set with Nano Receiver (Black),Zebronics,Zeb,Wireless,,,No,Black,,529,₹999₹999,,3.4 out of 5 stars,"21,515",https://www.amazon.in/Zebronics-Zeb-Companion-107-Wireless-Keyboard/dp/B087FXHB6J/ref=sr_1_21?dib=eyJ2IjoiMSJ9.-Oa2Uyq8RnrWq4ffIwwVP814QZIt1mm79ABXhdJx2lZjcCn5JZZofJsRTGpAOLCk5S67zKcjyKzbx6S2sOTryA5d14YRE7Ei3b5Fna3WyESOB3NI0H9Q_Q3vX_glHRX7_Oq3qbntao2gKVj1kvGWVbGo-jL12OUz4zcLqLqvHdjBRpVdOHxJ4tsfS_F6-4FEUaqOcKimvD8sFNNmexBX4zaypaZi6vGKJ3IPnR_PKS4.Nor0hY1k0rT1kcElpt3zIYMkcGWA6a2_Av3S5CmZSsk&dib_tag=se&keywords=keyboards&qid=1758608156&sr=8-21
Amkette Optimus Pro Multi Device (4in1) Rechargeable Wireless Keyboard/Bluetooth Keyboard with Scissor Keys | One Click Device Switching & AI Access for MacOS & Windows | Tablet & Phone Holder (Black),Amkette,,Wireless,,,No,Blue,,999,"₹2,199₹2,199",,4.1 out of 5 stars,202,https://www.amazon.in/Amkette-Optimus-Pro-Rechargeable-Black/dp/B0F9PSGBMG/ref=sr_1_22?dib=eyJ2IjoiMSJ9.-Oa2Uyq8RnrWq4ffIwwVP814QZIt1mm79ABXhdJx2lZjcCn5JZZofJsRTGpAOLCk5S67zKcjyKzbx6S2sOTryA5d14YRE7Ei3b5Fna3WyESOB3NI0H9Q_Q3vX_glHRX7_Oq3qbntao2gKVj1kvGWVbGo-jL12OUz4zcLqLqvHdjBRpVdOHxJ4tsfS_F6-4FEUaqOcKimvD8sFNNmexBX4zaypaZi6vGKJ3IPnR_PKS4.Nor0hY1k0rT1kcElpt3zIYMkcGWA6a2_Av3S5CmZSsk&dib_tag=se&keywords=keyboards&qid=1758608156&sr=8-22
"Portronics Bubble 3.0 Wireless Keyboard with Bluetooth + 2.4 GHz USB Receiver, Rechargeable Battery, Dual Height Adjustment, Multimedia Hotkeys with Numpad, for Laptop, PC, Smartphone, Tablet(Black)",Portronics,,Wireless,Multimedia,,No,Blue,,899,"₹2,999₹2,999",,4.1 out of 5 stars,184,https://www.amazon.in/Portronics-Rechargeable-Adjustment-Multimedia-Smartphone/dp/B0FGVQBNSB/ref=sr_1_23?dib=eyJ2IjoiMSJ9.-Oa2Uyq8RnrWq4ffIwwVP814QZIt1mm79ABXhdJx2lZjcCn5JZZofJsRTGpAOLCk5S67zKcjyKzbx6S2sOTryA5d14YRE7Ei3b5Fna3WyESOB3NI0H9Q_Q3vX_glHRX7_Oq3qbntao2gKVj1kvGWVbGo-jL12OUz4zcLqLqvHdjBRpVdOHxJ4tsfS_F6-4FEUaqOcKimvD8sFNNmexBX4zaypaZi6vGKJ3IPnR_PKS4.Nor0hY1k0rT1kcElpt3zIYMkcGWA6a2_Av3S5CmZSsk&dib_tag=se&keywords=keyboards&qid=1758608156&sr=8-23
"Amkette New and Improved Optimus BT 4 in 1 Multi Device Wireless Keyboard/Bluetooth Keyboard | One Click Device Switching and AI Access for Windows, MacOs, Android and iOS, Dual OS Layout (Grey)",Amkette,New and Improved Optimus BT 4 in 1 Multi Device Wireless Keyboard/Bluetooth Keyboard,Wireless,,,No,Blue,,749,"₹1,799₹1,799",,3.9 out of 5 stars,"1,080",https://www.amazon.in/Amkette-Bluetooth-Connectivity-Keystrokes-Multimedia/dp/B0CPM442QH/ref=sr_1_24?dib=eyJ2IjoiMSJ9.-Oa2Uyq8RnrWq4ffIwwVP814QZIt1mm79ABXhdJx2lZjcCn5JZZofJsRTGpAOLCk5S67zKcjyKzbx6S2sOTryA5d14YRE7Ei3b5Fna3WyESOB3NI0H9Q_Q3vX_glHRX7_Oq3qbntao2gKVj1kvGWVbGo-jL12OUz4zcLqLqvHdjBRpVdOHxJ4tsfS_F6-4FEUaqOcKimvD8sFNNmexBX4zaypaZi6vGKJ3IPnR_PKS4.Nor0hY1k0rT1kcElpt3zIYMkcGWA6a2_Av3S5CmZSsk&dib_tag=se&keywords=keyboards&qid=1758608156&sr=8-24
"Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customisable Shortcuts, Slim and Portable, Easy-Switch for Windows, macOS, iPadOS, Android, Chrome OS - Tonal Graphite",Logitech,Pebble Keys 2 K380s,Wireless,,,No,Blue,Slim,"2,995","₹4,195₹4,195",,4.3 out of 5 stars,827,https://www.amazon.in/Logitech-Multi-Device-Bluetooth-Customisable-Easy-Switch/dp/B0CGCZTYH2/ref=sr_1_25?dib=eyJ2IjoiMSJ9.-Oa2Uyq8RnrWq4ffIwwVP814QZIt1mm79ABXhdJx2lZjcCn5JZZofJsRTGpAOLCk5S67zKcjyKzbx6S2sOTryA5d14YRE7Ei3b5Fna3WyESOB3NI0H9Q_Q3vX_glHRX7_Oq3qbntao2gKVj1kvGWVbGo-jL12OUz4zcLqLqvHdjBRpVdOHxJ4tsfS_F6-4FEUaqOcKimvD8sFNNmexBX4zaypaZi6vGKJ3IPnR_PKS4.Nor0hY1k0rT1kcElpt3zIYMkcGWA6a2_Av3S5CmZSsk&dib_tag=se&keywords=keyboards&qid=1758608156&sr=8-25
