Product_Name,Brand,Model,Connectivity,Type,Battery_Life,Driver_Size,Mic,Colour,Features,Selling_Price,MRP,Discount,Rating,Reviews,URL
Let us know,Let,,,,,,No,,,"1,799","₹5,999₹5,999",,4.1 out of 5 stars,300,https://www.amazon.in#
Let us know,Let,,,,,,No,,,"4,998","₹9,999₹9,999",,4.0 out of 5 stars,"26,180",https://www.amazon.in#
"boAt Rockerz 425, ENx Tech, ASAP Charge, 25H Battery, Dual Pair, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Ash Grey)",boAt,Rockerz 425,Wireless,Over-Ear,,,Yes,Blue,,"1,099","₹2,999₹2,999",,3.6 out of 5 stars,"4,829",https://www.amazon.in/Rockerz-425-Bluetooth-Headphones-Signature/dp/B09QL3K2GD/ref=sr_1_13?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-13
"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Black",Sony,WH,Wireless,On-Ear,50Hrs,,Yes,Blue,,"3,989","₹5,990₹5,990",,4.2 out of 5 stars,"23,443",https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1PRC4L/ref=sr_1_14?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-14
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Black Sabre)",boAt,Rockerz 480 W/RGB LEDs,Wireless,Over-Ear,60Hrs,40Mm,No,Blue,,"1,499","₹1,499₹1,499",,4.1 out of 5 stars,"2,485",https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTSRX3R/ref=sr_1_15?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-15
"ZEBRONICS Jet Premium Wired Gaming On Ear Headphone with LED Light for earcups, 40mm Neodymium Drivers, 2 Meter Braided Cable, Flexible mic, Suspension Headband, 3.5mm + USB Connector (Black + Blue)",ZEBRONICS,Jet Premium Wired Gaming On Ear Headphone with LED Light for earcups,Wired,On-Ear,,40mm,Yes,red,Gaming,683,"₹1,699₹1,699",,3.9 out of 5 stars,"4,151",https://www.amazon.in/ZEBRONICS-Headphone-Neodymium-Suspension-Controller/dp/B0B5RL2G3S/ref=sr_1_16?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-16
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)",boAt,Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback,Wireless,Over-Ear,20 Hours,50MM,No,Blue,,"1,299","₹4,999₹4,999",,4.0 out of 5 stars,"64,976",https://www.amazon.in/boAt-Bluetooth-Headphones-Playback-Isolation/dp/B0856HY85J/ref=sr_1_17?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-17
"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Charge, Up to 35Hrs Battery, Customized EQ- Blue",Sony,WH,Wireless,Over-Ear,35Hrs,,Yes,Blue,ANC,"7,990","₹14,990₹14,990",,4.3 out of 5 stars,"12,562",https://www.amazon.in/Sony-WH-CH720N-Cancellation-Headphones-Multi-Point/dp/B0BXXPG6FP/ref=sr_1_18?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-18
"boAt Rockerz 412 (2025 Launch), 60Hrs Battery, 40Mm Drivers, 40Ms Low Latency, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",boAt,,Wireless,Over-Ear,60Hrs,40Mm,Yes,Blue,Low Latency,"1,199","₹1,199₹1,199",,3.7 out of 5 stars,132,https://www.amazon.in/boAt-Integrated-Bluetooth-Headphones-Headphone/dp/B0FC2YZHHY/ref=sr_1_19?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-19
"Sony WH-1000XM4 Industry Leading Wireless Noise Cancellation Bluetooth Over Ear Headphones with Mic for Phone Calls, 30 Hours Battery Life, Quick Charge, AUX, Touch Control and Voice Control - Black",Sony,WH,Wireless,Over-Ear,30 Hours,,Yes,Blue,ANC,"19,980","₹29,990₹29,990",,4.5 out of 5 stars,"56,930",https://www.amazon.in/Sony-WH-1000XM4-Cancelling-Headphones-Bluetooth/dp/B0863TXGM3/ref=sr_1_20?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-20
