Product_Name,Brand,Model,Connectivity,Type,Battery_Life,Driver_Size,Mic,Colour,Features,Selling_Price,MRP,Discount,Rating,Reviews,URL
"Sony MDR-M1 Wired High Resolution Monitor Over Ear Headphones, Closed Back Design for Audiophile",Sony,MDR,Wired,Over-Ear,,,No,red,,"19,990","₹39,990₹39,990",,4.7 out of 5 stars,132,https://www.amazon.in/Sony-MDR-M1-Resolution-Headphones-Audiophile/dp/B0DD8SHVZL/ref=sr_1_118?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-118
"ZEBRONICS Blitz C Dolby Atmos Gaming Over Ear Wired Headphone, 50Mm Neodymium Drivers, Padded Headband, Lightweight & Comfortable, RGB Lights, Flexible Mic, Type-C Connector, Black",ZEBRONICS,Blitz C Dolby Atmos Gaming Over Ear Wired Headphone,Wired,Over-Ear,,50Mm,Yes,red,Gaming,"1,399","₹1,999₹1,999",,3.9 out of 5 stars,"3,346",https://www.amazon.in/ZEBRONICS-Headphone-Neodymium-Lightweight-Comfortable/dp/B0CTT7PVGC/ref=sr_1_119?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-119
Amazon Basics Pro Series Wireless Noise Cancelling ANC Over Ear Headphone | Bluetooth Headset | USB Charging | 10 m Paring Distance | 74 Hours Battery Life | 40 mm Drivers | IPX4 Rated (Silver),Amazon,Basics Pro Series Wireless Noise Cancelling ANC Over Ear Headphone,Wireless,Over-Ear,74 Hours,40 mm,No,Blue,"Noise Cancelling, ANC","1,999","₹3,399₹3,399",,4.2 out of 5 stars,"1,272",https://www.amazon.in/amazon-basics-Cancelling-Headphones-Bluetooth/dp/B0DG2SCGSH/ref=sr_1_120?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-120
"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Black)",JBL,C50HI,Wired,In-Ear,,,Yes,red,,448,₹699₹699,,3.9 out of 5 stars,"120,270",https://www.amazon.in/JBL-C50HI-Ear-Headphones-Black/dp/B07JQKQ91F/ref=sr_1_121?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-121
"soundcore H30i Wireless On-Ear Headphones, Foldable Design, Pure Bass, 70H Playtime, Bluetooth 5.3, Lightweight and Comfortable, App Connectivity, Multipoint Connection",soundcore,H30i Wireless On,Wireless,On-Ear,,,No,Blue,,"1,499","₹5,998₹5,998",,4.2 out of 5 stars,"7,734",https://www.amazon.in/soundcore-Headphones-Lightweight-Comfortable-Connectivity/dp/B0CDZR83T8/ref=sr_1_122?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-122
Let us know,Let,,,,,,No,,,"2,499","₹8,999₹8,999",,3.6 out of 5 stars,114,https://www.amazon.in#
Let us know,Let,,,,,,No,,,"4,998","₹9,999₹9,999",,4.0 out of 5 stars,"26,180",https://www.amazon.in#
"Skullcandy Icon ANC On-Ear Wireless Bluetooth Headphones - Active Noise Cancelling, 60Hr Battery + Rapid Charge, Mic, Adjustable Stay-Aware Mode – Black",Skullcandy,Icon ANC On,Wireless,On-Ear,60Hr,,Yes,Blue,"Noise Cancelling, ANC","6,999","₹6,99,900₹6,99,900",,4.3 out of 5 stars,282,https://www.amazon.in/Skullcandy-Cancelling-Bluetooth-Headphones-Microphone/dp/B0DK622V14/ref=sr_1_125?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-125
"BigPassport USB Wired On-Ear Headphones with Mic | Stereo Headset with Microphone for Laptop, PC, Office, Skype, Online Classes, Calls, Interview, Zoom, Teams – USB Audio – Pro-Tech 491",BigPassport,USB Wired On,Wired,On-Ear,,,Yes,red,,844..90,"₹2,999₹2,999",,3.7 out of 5 stars,"6,135",https://www.amazon.in/Bigpassport-Headphones-Microphone-Interview-Classroom/dp/B08R64BPZD/ref=sr_1_126?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-126
"Sennheiser ACCENTUM Wireless Special Edition-Over Ear Headphones with Hybrid ANC,50 Hr Battery & Free BTD 600 Bluetooth Dongle Worth 5,990 Streaming & Crystal Clear Calls,Designed in Germany - Copper",Sennheiser,ACCENTUM Wireless Special Edition,Wireless,Over-Ear,50 Hr,,No,Blue,ANC,"10,490","₹20,990₹20,990",,4.2 out of 5 stars,475,https://www.amazon.in/Sennheiser-ACCENTUM-Wireless-Special-Headphones/dp/B0D3LGQ841/ref=sr_1_127?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-127
"Jabra Evolve 10, On Ear Noise Cancellation Mic with Fully Adjustable Boom Arm and USB-A Connectivity Stereo Headset, Black",Jabra,Evolve 10,Wired,On-Ear,,,Yes,Black,ANC,"3,199","₹5,550₹5,550",,3.9 out of 5 stars,147,https://www.amazon.in/Jabra-10-Cancellation-Adjustable-Connectivity/dp/B0F1DGSZPZ/ref=sr_1_128?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-128
"ZEBRONICS Thunder PRO Over Ear Wireless Headphone with Dual Pairing, Gaming Mode, ENC, Bluetooth, Call Function, Aux, Micro SD, Voice Assistant, Deep Bass, Up to 60h Backup (Beige)",ZEBRONICS,Thunder PRO Over Ear Wireless Headphone with Dual Pairing,Wireless,Over-Ear,,,Yes,Blue,Gaming,749,"₹1,899₹1,899",,3.7 out of 5 stars,280,https://www.amazon.in/ZEBRONICS-PRO-Headphone-Bluetooth-Assistant/dp/B0CVGYY9DM/ref=sr_1_129?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-129
"HAMMER Bash Max Over The Ear Wireless Bluetooth Headphones with Mic, Touch Control, Deep Bass, Upto 40 Hours Playtime, Bluetooth 5.3, Workout/Travel (Cool Grey)",HAMMER,Bash Max Over The Ear Wireless Bluetooth Headphones with Mic,Wireless,,40 Hours,,Yes,Blue,,"1,999","₹8,245₹8,245",,3.8 out of 5 stars,"3,606",https://www.amazon.in/HAMMER-Bash-Max-Bluetooth-Headphones/dp/B0CBG1YG5F/ref=sr_1_130?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-130
"soundcore by Anker,Space One Active Noise Cancelling Bluetooth Over Ear Headphones with Travel Pouch,2X Stronger Voice Reduction,40H ANC Playtime,App Control,Ldac Hi-Res,Ergo Design for Comfort Fit",soundcore,by Anker,Wireless,Over-Ear,,,No,Blue,"Noise Cancelling, ANC, Hi-Res","5,999","₹19,998₹19,998",,3.9 out of 5 stars,"19,275",https://www.amazon.in/soundcore-Cancelling-Bluetooth-Headphones-Reduction/dp/B0C6KFZC9Z/ref=sr_1_131?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-131
PHILIPS Audio Upbeat Tauh201 Wired On Ear Headphones with Mic (Black),PHILIPS,,Wired,On-Ear,,,Yes,red,,999,"₹1,599₹1,599",,3.9 out of 5 stars,786,https://www.amazon.in/Philips-UpBeat-TAUH201BK-Headphones-Black/dp/B07YNDMMWG/ref=sr_1_132?dib=eyJ2IjoiMSJ9.13baVFQYbI-kEc0UJ5G6y5vQHtkJP2OQ0uA1iconsnLfk33QW1ie4OtZ_nNimF8E5T1B1d2BOaNAj7UpncYjCR9jDkMjpxf73MFQ7VUSjqvyomZwCYclJ2vZJpHpdjHtktcE8T0X6JBnoWmQWpLKqAQ8K8dQL5rQ8XkKk7J7v1zlKiuBKYEk0y_GuBSl54cv_tohoy0YnubBRlNb8YA9PoSfNXBuve_z3B7uSCJnyL8.uvR-FuzUZeePJUX_4FEoAdWyQfVlZwiMyn03mPi-Pog&dib_tag=se&keywords=headphones&qid=1758672982&sr=8-132
Let us know,Let,,,,,,No,,,"29,999","₹39,999₹39,999",,4.3 out of 5 stars,537,https://www.amazon.in#
Let us know,Let,,,,,,No,,,"1,799","₹5,999₹5,999",,4.1 out of 5 stars,300,https://www.amazon.in#
Let us know,Let,,,,,,No,,,"19,989","₹27,900₹27,900",,4.3 out of 5 stars,"10,814",https://www.amazon.in#
Let us know,Let,,,,,,No,,,"24,989","₹35,900₹35,900",,4.2 out of 5 stars,"7,625",https://www.amazon.in#
"Skullcandy Crusher Wireless Over-Ear Bluetooth Headphones - Adjustable Sensory Bass, Noise-Isolating Fit, 50Hr Battery, Mic, Travel Bag – Black",Skullcandy,Crusher Wireless Over,Wireless,Over-Ear,50Hr,,Yes,Blue,,"8,999","₹28,999₹28,999",,4.2 out of 5 stars,"35,876",https://www.amazon.in/Skullcandy-Crusher-Over-Ear-Bluetooth-Headphones/dp/B01DWH77GC/ref=sr_1_131?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-131
"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Black)",JBL,C50HI,Wired,In-Ear,,,Yes,red,,448,₹699₹699,,3.9 out of 5 stars,"120,270",https://www.amazon.in/JBL-C50HI-Ear-Headphones-Black/dp/B07JQKQ91F/ref=sr_1_132?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-132
"Sony WH-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Over Ear Headphones with Mic for Clear Calling,Battery Life 30 Hours-Mid Night Blue",Sony,WH,Wireless,Over-Ear,30 Hours,,Yes,Blue,"Noise Cancelling, ANC","24,520","₹34,990₹34,990",,4.4 out of 5 stars,"15,912",https://www.amazon.in/Sony-WH-1000XM5-Cancelling-Headphones-Connectivity/dp/B0BZP2H373/ref=sr_1_133?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-133
"soundcore by Anker,Space One,Active Noise Cancelling in Ear Headphones,2X Stronger Voice Reduction,40H ANC Playtime,App Control,Ldac Hi-Res Wireless Audio,Comfortable Fit,Clear Calls,Bluetooth 5.3",soundcore,by Anker,Wireless,In-Ear,,,No,Red,"Noise Cancelling, ANC, Hi-Res","5,999","₹19,998₹19,998",,3.9 out of 5 stars,"19,275",https://www.amazon.in/Soundcore-Cancelling-Headphones-Reduction-Comfortable/dp/B0C6KKQ7ND/ref=sr_1_134?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-134
"Skullcandy Crusher ANC 2 Over-Ear Wireless Headphones | Active Noise Cancellation, Sensory Bass, Dual Pairing, 50H Battery, Rapid Charge, Alexa Built-in | Preppy Summer, Blue",Skullcandy,Crusher ANC 2 Over,Wireless,Over-Ear,,,No,Blue,ANC,"16,999","₹64,999₹64,999",,4.2 out of 5 stars,"35,876",https://www.amazon.in/Skullcandy-Crusher-ANC-Headphones-Cancellation/dp/B0DBN6B2HL/ref=sr_1_135?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-135
PHILIPS Audio Upbeat Tauh201 Wired On Ear Headphones with Mic (Black),PHILIPS,,Wired,On-Ear,,,Yes,red,,999,"₹1,599₹1,599",,3.9 out of 5 stars,786,https://www.amazon.in/Philips-UpBeat-TAUH201BK-Headphones-Black/dp/B07YNDMMWG/ref=sr_1_136?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-136
"Skullcandy Crusher ANC 2 Over-Ear 4-Mic Active Noise Cancelling Wireless Headphones with Sensory Bass, 40mm Drivers, Dual-Device Pairing, 50Hr Battery, Alexa Enabled – Black",Skullcandy,Crusher ANC 2 Over,Wireless,Over-Ear,50Hr,40mm,Yes,Black,"Noise Cancelling, ANC","14,999","₹49,999₹49,999",,4.2 out of 5 stars,"35,876",https://www.amazon.in/Skullcandy-Cancelling-Headphones-Bluetooth-Compatible/dp/B0C9L8ZR6Q/ref=sr_1_137?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-137
boAt Bassheads 100 in Ear Wired Headphones Earphones with Mic (Furious Red),boAt,,Wired,In-Ear,,,Yes,red,,349,₹349₹349,,4.1 out of 5 stars,"426,462",https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GQD4K6L/ref=sr_1_138?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-138
Let us know,Let,,,,,,No,,,899,"₹1,599₹1,599",,,,https://www.amazon.in#
Let us know,Let,,,,,,No,,,"29,999","₹39,999₹39,999",,4.3 out of 5 stars,537,https://www.amazon.in#
"ZEBRONICS Thunder Bluetooth Wireless On Ear Headphone FM, mSD, 60hrs Playback with Mic (Neon Yellow)",ZEBRONICS,Thunder Bluetooth Wireless On Ear Headphone FM,Wireless,On-Ear,60hrs,,Yes,Blue,,599,"₹1,399₹1,399",,3.7 out of 5 stars,"2,159",https://www.amazon.in/ZEBRONICS-Zeb-Thunder-Bluetooth-Neon-Yellow/dp/B09B9SD1QH/ref=sr_1_141?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-141
"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Neckband, Wireless with Mic Earphones (Active Black)",boAt,,Wireless,In-Ear,60HRS,,Yes,Blue,Low Latency,999,₹999₹999,,3.9 out of 5 stars,"239,682",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_142?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-142
"ZEBRONICS Boom Wired Headphone, Over Ear, in-Line MIC, Foldable, 1.5 Meter Cable, for 3.5mm (Mobile | Tablet | Laptop | MAC), Soft Cushion, 40mm Drivers (Beige)",ZEBRONICS,Boom Wired Headphone,Wired,Over-Ear,,5mm,Yes,red,,549,"₹1,299₹1,299",,3.1 out of 5 stars,96,https://www.amazon.in/Zebronics-Headphone-Foldable-Cushion-Beige/dp/B0CTKLD9F4/ref=sr_1_143?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-143
"ZEBRONICS Thunder Over Ear Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, Enc, Aux, Micro Sd, Voice Assistant, Comfortable Earcups, Call Function (Blue)",ZEBRONICS,,Wireless,Over-Ear,,,Yes,Blue,Gaming,599,"₹1,199₹1,199",,3.8 out of 5 stars,"17,559",https://www.amazon.in/ZEBRONICS-Bluetooth-Headphones-Assistant-Comfortable/dp/B07L8JTZ4H/ref=sr_1_144?dib=eyJ2IjoiMSJ9.eAJyiI0scZfpRl7jS5Ro2-kymg4wgzp05COhitifmapiYMOvdnbCMew6WxRNCe6Cy2jzwm0PcBpx_b6gfL8dT1Ip9Pd6Tz0NHtJwbhT78xpuM8NXjY8fG5BZsGx4lbkwHg2EhCsqJBO6CQmXJS1nRhsSRNgR-HhS2SBrlBzaMCQaKhWtyEiwtrTIamP5imz6Lp5DSV7aW8Orqgqjtr96SHnSysjjzOI_Bk7psfmRH4Y.44_0o_FhGuulRf5ZtZtpBWTDDeRbn8tU-Kdfxac8DMA&dib_tag=se&keywords=headphones&qid=1758672992&sr=8-144
